library|idx|hex.color|color|red|green|blue|alpha|class
X11-141|83|#B0E0E6|PowderBlue|176|224|230|255|Blue
X11-141|45|#800080|Purple|128|0|128|255|Purple
X11-141|7|#FF0000|Red|255|0|0|255|Red
X11-141|104|#BC8F8F|RosyBrown|188|143|143|255|Brown
X11-141|91|#4169E1|RoyalBlue|65|105|225|255|Blue
X11-141|110|#8B4513|SaddleBrown|139|69|19|255|Brown
X11-141|3|#FA8072|Salmon|250|128|114|255|Red
X11-141|105|#F4A460|SandyBrown|244|164|96|255|Brown
X11-141|59|#2E8B57|SeaGreen|46|139|87|255|Green
X11-141|122|#FFF5EE|Seashell|255|245|238|255|White
X11-141|111|#A0522D|Sienna|160|82|45|255|Brown
X11-141|133|#C0C0C0|Silver|192|192|192|255|Grey
X11-141|85|#87CEEB|SkyBlue|135|206|235|255|Blue
X11-141|47|#6A5ACD|SlateBlue|106|90|205|255|Purple
X11-141|138|#708090|SlateGray|112|128|144|255|Grey
X11-141|115|#FFFAFA|Snow|255|250|250|255|White
X11-141|57|#00FF7F|SpringGreen|0|255|127|255|Green
X11-141|81|#4682B4|SteelBlue|70|130|180|255|Blue
X11-141|103|#D2B48C|Tan|210|180|140|255|Brown
X11-141|71|#008080|Teal|0|128|128|255|Green
X11-141|33|#D8BFD8|Thistle|216|191|216|255|Purple
X11-141|17|#FF6347|Tomato|255|99|71|255|Orange
X11-141|77|#40E0D0|Turquoise|64|224|208|255|Blue
X11-141|35|#EE82EE|Violet|238|130|238|255|Purple
X11-141|101|#F5DEB3|Wheat|245|222|179|255|Brown
X11-141|114|#FFFFFF|White|255|255|255|255|White
X11-141|121|#F5F5F5|WhiteSmoke|245|245|245|255|White
X11-141|22|#FFFF00|Yellow|255|255|0|255|Yellow
X11-141|63|#9ACD32|YellowGreen|154|205|50|255|Green
