library|idx|hex.color|color|red|green|blue|alpha
R-657|533|#CDAF95|peachpuff3|205|175|149|255
R-657|534|#8B7765|peachpuff4|139|119|101|255
R-657|535|#CD853F|peru|205|133|63|255
R-657|536|#FFC0CB|pink|255|192|203|255
R-657|537|#FFB5C5|pink1|255|181|197|255
R-657|538|#EEA9B8|pink2|238|169|184|255
R-657|539|#CD919E|pink3|205|145|158|255
R-657|540|#8B636C|pink4|139|99|108|255
R-657|541|#DDA0DD|plum|221|160|221|255
R-657|542|#FFBBFF|plum1|255|187|255|255
R-657|543|#EEAEEE|plum2|238|174|238|255
R-657|544|#CD96CD|plum3|205|150|205|255
R-657|545|#8B668B|plum4|139|102|139|255
R-657|546|#B0E0E6|powderblue|176|224|230|255
R-657|547|#A020F0|purple|160|32|240|255
R-657|548|#9B30FF|purple1|155|48|255|255
R-657|549|#912CEE|purple2|145|44|238|255
R-657|550|#7D26CD|purple3|125|38|205|255
R-657|551|#551A8B|purple4|85|26|139|255
R-657|552|#FF0000|red|255|0|0|255
R-657|553|#FF0000|red1|255|0|0|255
R-657|554|#EE0000|red2|238|0|0|255
R-657|555|#CD0000|red3|205|0|0|255
R-657|556|#8B0000|red4|139|0|0|255
R-657|557|#BC8F8F|rosybrown|188|143|143|255
R-657|558|#FFC1C1|rosybrown1|255|193|193|255
R-657|559|#EEB4B4|rosybrown2|238|180|180|255
R-657|560|#CD9B9B|rosybrown3|205|155|155|255
R-657|561|#8B6969|rosybrown4|139|105|105|255
R-657|562|#4169E1|royalblue|65|105|225|255
R-657|563|#4876FF|royalblue1|72|118|255|255
R-657|564|#436EEE|royalblue2|67|110|238|255
R-657|565|#3A5FCD|royalblue3|58|95|205|255
R-657|566|#27408B|royalblue4|39|64|139|255
R-657|567|#8B4513|saddlebrown|139|69|19|255
R-657|568|#FA8072|salmon|250|128|114|255
R-657|569|#FF8C69|salmon1|255|140|105|255
R-657|570|#EE8262|salmon2|238|130|98|255
R-657|571|#CD7054|salmon3|205|112|84|255
R-657|572|#8B4C39|salmon4|139|76|57|255
R-657|573|#F4A460|sandybrown|244|164|96|255
R-657|574|#2E8B57|seagreen|46|139|87|255
R-657|575|#54FF9F|seagreen1|84|255|159|255
R-657|576|#4EEE94|seagreen2|78|238|148|255
R-657|577|#43CD80|seagreen3|67|205|128|255
R-657|578|#2E8B57|seagreen4|46|139|87|255
R-657|579|#FFF5EE|seashell|255|245|238|255
R-657|580|#FFF5EE|seashell1|255|245|238|255
R-657|581|#EEE5DE|seashell2|238|229|222|255
R-657|582|#CDC5BF|seashell3|205|197|191|255
R-657|583|#8B8682|seashell4|139|134|130|255
R-657|584|#A0522D|sienna|160|82|45|255
R-657|585|#FF8247|sienna1|255|130|71|255
R-657|586|#EE7942|sienna2|238|121|66|255
R-657|587|#CD6839|sienna3|205|104|57|255
R-657|588|#8B4726|sienna4|139|71|38|255
R-657|589|#87CEEB|skyblue|135|206|235|255
R-657|590|#87CEFF|skyblue1|135|206|255|255
R-657|591|#7EC0EE|skyblue2|126|192|238|255
R-657|592|#6CA6CD|skyblue3|108|166|205|255
R-657|593|#4A708B|skyblue4|74|112|139|255
R-657|594|#6A5ACD|slateblue|106|90|205|255
