################################################################################
#
#
#                           Welcome to the {humanVerse}
#
#
################################################################################
# character^integer^character^character^integer^integer^integer^integer
################################################################################
library|idx|hex.color|color|red|green|blue|alpha
WEB-216|187|#00FF33|WEB.187|0|255|51|255
WEB-216|188|#33FF33|WEB.188|51|255|51|255
WEB-216|189|#66FF33|WEB.189|102|255|51|255
WEB-216|19|#000099|WEB.19|0|0|153|255
WEB-216|190|#99FF33|WEB.190|153|255|51|255
WEB-216|191|#CCFF33|WEB.191|204|255|51|255
WEB-216|192|#FFFF33|WEB.192|255|255|51|255
WEB-216|193|#00FF66|WEB.193|0|255|102|255
WEB-216|194|#33FF66|WEB.194|51|255|102|255
WEB-216|195|#66FF66|WEB.195|102|255|102|255
WEB-216|196|#99FF66|WEB.196|153|255|102|255
WEB-216|197|#CCFF66|WEB.197|204|255|102|255
WEB-216|198|#FFFF66|WEB.198|255|255|102|255
WEB-216|199|#00FF99|WEB.199|0|255|153|255
WEB-216|2|#330000|WEB.2|51|0|0|255
WEB-216|20|#330099|WEB.20|51|0|153|255
WEB-216|200|#33FF99|WEB.200|51|255|153|255
WEB-216|201|#66FF99|WEB.201|102|255|153|255
WEB-216|202|#99FF99|WEB.202|153|255|153|255
WEB-216|203|#CCFF99|WEB.203|204|255|153|255
WEB-216|204|#FFFF99|WEB.204|255|255|153|255
WEB-216|205|#00FFCC|WEB.205|0|255|204|255
WEB-216|206|#33FFCC|WEB.206|51|255|204|255
WEB-216|207|#66FFCC|WEB.207|102|255|204|255
WEB-216|208|#99FFCC|WEB.208|153|255|204|255
WEB-216|209|#CCFFCC|WEB.209|204|255|204|255
WEB-216|21|#660099|WEB.21|102|0|153|255
WEB-216|210|#FFFFCC|WEB.210|255|255|204|255
WEB-216|211|#00FFFF|WEB.211|0|255|255|255
WEB-216|212|#33FFFF|WEB.212|51|255|255|255
WEB-216|213|#66FFFF|WEB.213|102|255|255|255
WEB-216|214|#99FFFF|WEB.214|153|255|255|255
WEB-216|215|#CCFFFF|WEB.215|204|255|255|255
WEB-216|216|#FFFFFF|WEB.216|255|255|255|255
WEB-216|22|#990099|WEB.22|153|0|153|255
WEB-216|23|#CC0099|WEB.23|204|0|153|255
WEB-216|24|#FF0099|WEB.24|255|0|153|255
WEB-216|25|#0000CC|WEB.25|0|0|204|255
WEB-216|26|#3300CC|WEB.26|51|0|204|255
WEB-216|27|#6600CC|WEB.27|102|0|204|255
WEB-216|28|#9900CC|WEB.28|153|0|204|255
WEB-216|29|#CC00CC|WEB.29|204|0|204|255
WEB-216|3|#660000|WEB.3|102|0|0|255
WEB-216|30|#FF00CC|WEB.30|255|0|204|255
